name,id,brewer,alcohol_by_volume,style,category,country
Hansa Pils,5563,Dortmunder Actien Brauerei  DAB,4.8000001907,German-Style Pilsener,German Lager,Germany
Pils Legende,4283,WernesgrÃ¼ner Brauerei,4.9000000954,German-Style Pilsener,German Lager,Germany
Warsteiner Premium Verum,4378,Warsteiner Brauerei,4.8000001907,German-Style Pilsener,German Lager,Germany
Warsteiner Premium Dunkel,4380,Warsteiner Brauerei,4.8000001907,NA,NA,Germany
Schlappeseppl Export,4409,Eder & Heylands,5.5,American-Style Lager,North American Lager,Germany
WeiÃŸe Export / Helle WeÃŸe,3012,Weissbierbrauerei Hopf,0.0,South German-Style Hefeweizen,German Ale,Germany
Original Lager,3091,Kaiser-Bru,4.9000000954,NA,NA,Germany
Hefe-Weizen Dunkel,834,Klosterbrauerei Weltenburg,0.0,NA,NA,Germany
Warsteiner Premium Oktoberfest,5060,Warsteiner Brauerei,5.9000000954,German-Style Oktoberfest,German Lager,Germany
Organic Hefewizen,5175,Brauerei und Altbierkche Pinkus Mller,0.0,South German-Style Hefeweizen,German Ale,Germany
ObergÃ¤rig / MÃ¼nster Alt,3061,Brauerei und Altbierkche Pinkus Mller,0.0,American-Style Brown Ale,North American Ale,Germany
Hacker-Pschorr Weisse Bock,2183,Paulaner,0.0,South German-Style Weizenbock,German Ale,Germany
Dunkel,2616,Privatbrauerei Hofmhl,0.0,NA,NA,Germany
Haacke-Beck,2618,Brauerei Beck,0.0,NA,NA,Germany
Kristall Weizen,2662,Tucher Bru,5.3000001907,NA,NA,Germany
Oktoberfest,2874,Brauerei Beck,0.0,German-Style Oktoberfest,German Lager,Germany
Lindener Spezial,2882,Gilde Brauerei,5.0999999046,NA,NA,Germany
Pilsner,937,Brauerei C. & A. Veltins GmbH & Co.,4.8000001907,NA,NA,Germany
Duckstein Alt,2373,Holsten-Brauerei,0.0,American-Style Brown Ale,North American Ale,Germany
Pilsener,2883,Gilde Brauerei,4.9000000954,NA,NA,Germany
Original Pils,3183,Kulmbacher Mnchshof Bru,0.0,NA,NA,Germany
Franziskaner Hefe-Weissbier Dunkel,4519,Spaten-Franziskaner-BrÃ¤u,5.0,NA,NA,Germany
Salvator,4469,Paulaner,7.9000000954,German-Style Doppelbock,German Lager,Germany
Erdinger Weizen,4518,Privatbrauerei Erdinger Weissbru,5.3000001907,Light American Wheat Ale or Lager,Other Style,Germany
